prefix,operator,operator_group,service_type,orbit_class,origin_asn,geoip_country,geoip_region,geoip_city,geoip_source,pop_code,pop_iata,bgp_state,ground_station_claim,active_user_claim,quality_flags,attribution_confidence,geo_confidence,first_seen,last_seen,changed_at,change_type,previous_bgp_state,previous_origin_asn,previous_operator,previous_pop_code,previous_geoip_country,previous_geoip_region,previous_geoip_city
103.23.222.0/24,kvh,kvh,satellite_service_provider,mixed_satellite,10021,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-06-15,2026-08-12,2026-06-15T12:16:54Z,unchanged,,,,,,,
103.235.116.0/22,nbn_sky_muster,nbn,satellite_internet,geo,4764,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-06-15,2026-08-12,2026-06-15T12:16:54Z,unchanged,,,,,,,
103.235.92.0/23,starlink,spacex,satellite_internet,leo,14593,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.235.92.0/24,starlink,spacex,satellite_internet,leo,,PH,PH-00,Manila,starlink_feed_csv,mnlaphl1,mnl,planned_not_announced,false,false,[geoip_valid prefix_only_in_geofeed bgp_not_announced pop_present ptr_missing],0.925,0.750,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.235.93.0/24,starlink,spacex,satellite_internet,leo,,PH,PH-00,Manila,starlink_feed_csv,mnlaphl1,mnl,planned_not_announced,false,false,[geoip_valid prefix_only_in_geofeed bgp_not_announced pop_present ptr_missing],0.925,0.750,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.235.94.0/23,starlink,spacex,satellite_internet,leo,14593,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.235.94.0/25,starlink,spacex,satellite_internet,leo,,PH,PH-00,Manila,starlink_feed_csv,mnlaphl1,mnl,planned_not_announced,false,false,[geoip_valid prefix_only_in_geofeed bgp_not_announced pop_present ptr_missing],0.925,0.750,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.235.94.128/25,starlink,spacex,satellite_internet,leo,,PH,PH-00,Manila,starlink_feed_csv,mnlaphl1,mnl,planned_not_announced,false,false,[geoip_valid prefix_only_in_geofeed bgp_not_announced pop_present ptr_missing],0.925,0.750,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.235.95.0/25,starlink,spacex,satellite_internet,leo,,PH,PH-00,Manila,starlink_feed_csv,mnlaphl1,mnl,planned_not_announced,false,false,[geoip_valid prefix_only_in_geofeed bgp_not_announced pop_present ptr_missing],0.925,0.750,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.235.95.128/25,starlink,spacex,satellite_internet,leo,,PH,PH-00,Manila,starlink_feed_csv,mnlaphl1,mnl,planned_not_announced,false,false,[geoip_valid prefix_only_in_geofeed bgp_not_announced pop_present ptr_missing],0.925,0.750,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.242.88.0/23,panasonic_avionics,panasonic,satellite_service_provider,mixed_satellite,64294,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-06-15,2026-08-12,2026-06-15T12:16:54Z,unchanged,,,,,,,
103.243.65.0/24,ses_o3b,ses,satellite_internet,meo,60725,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.244.132.0/23,yahsat,space42,satellite_internet,geo,198381,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-08-01,2026-08-12,2026-08-01T06:08:32Z,unchanged,,,,,,,
103.244.134.0/24,yahsat,space42,satellite_internet,geo,198247,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-08-01,2026-08-12,2026-08-01T06:08:32Z,unchanged,,,,,,,
103.244.135.0/24,yahsat,space42,satellite_internet,geo,198247,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-08-01,2026-08-12,2026-08-01T06:08:32Z,unchanged,,,,,,,
103.245.84.0/22,nbn_sky_muster,nbn,satellite_internet,geo,4764,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-06-15,2026-08-12,2026-06-15T12:16:54Z,unchanged,,,,,,,
103.249.148.0/22,nbn_sky_muster,nbn,satellite_internet,geo,4764,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-06-15,2026-08-12,2026-06-15T12:16:54Z,unchanged,,,,,,,
103.249.149.0/24,nbn_sky_muster,nbn,satellite_internet,geo,4764,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-06-15,2026-08-12,2026-06-15T12:16:54Z,unchanged,,,,,,,
103.249.49.0/24,speedcast,speedcast,satellite_service_provider,mixed_satellite,38456,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.249.50.0/24,speedcast,speedcast,satellite_service_provider,mixed_satellite,38456,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.249.51.0/24,speedcast,speedcast,satellite_service_provider,mixed_satellite,38456,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.255.128.0/24,yahsat,space42,satellite_internet,geo,198381,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-08-01,2026-08-12,2026-08-01T06:08:32Z,unchanged,,,,,,,
103.255.129.0/24,yahsat,space42,satellite_internet,geo,198381,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-08-01,2026-08-12,2026-08-01T06:08:32Z,unchanged,,,,,,,
103.255.130.0/24,yahsat,space42,satellite_internet,geo,198381,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-08-01,2026-08-12,2026-08-01T06:08:32Z,unchanged,,,,,,,
103.26.172.0/22,nbn_sky_muster,nbn,satellite_internet,geo,4764,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-06-15,2026-08-12,2026-06-15T12:16:54Z,unchanged,,,,,,,
103.27.160.0/24,speedcast,speedcast,satellite_service_provider,mixed_satellite,4913,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.27.161.0/24,speedcast,speedcast,satellite_service_provider,mixed_satellite,4913,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.27.162.0/24,speedcast,speedcast,satellite_service_provider,mixed_satellite,4913,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-05-25,2026-08-12,,unchanged,,,,,,,
103.27.20.0/24,yahsat,space42,satellite_internet,geo,206283,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-08-01,2026-08-12,2026-08-01T06:08:32Z,unchanged,,,,,,,
103.27.21.0/24,yahsat,space42,satellite_internet,geo,198247,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-08-01,2026-08-12,2026-08-01T06:08:32Z,unchanged,,,,,,,
